date,open,high,low,close,volume
2016-02-22,163.4437,164.3542,163.3762,164.2108,103640300
2016-02-23,163.5533,163.8231,162.019,162.137,111455300
2016-02-24,160.7122,163.157,159.6078,162.8788,150812200
2016-02-25,163.3257,164.86,162.5669,164.8516,110728300
2016-02-26,165.72,165.8127,164.3121,164.4723,129833700
2016-02-29,164.4891,165.4333,162.9885,163.1824,125918100
2016-03-01,164.4048,167.1026,163.9327,167.0182,141799700
2016-03-02,166.7064,167.8192,166.2933,167.7686,102415000
2016-03-03,167.5915,168.443,167.0182,168.4261,95172200
2016-03-04,168.6201,169.7498,167.7939,168.9742,129293600
2016-03-07,168.0552,169.5137,167.9793,169.109,100219000
2016-03-08,168.0384,168.5442,167.1026,167.2628,123974900
2016-03-09,168.0721,168.4346,167.288,168.0889,94801200
2016-03-10,168.5779,169.5137,166.4028,168.2238,156838700
2016-03-11,169.6738,170.9806,168.2069,170.9384,137964500
2016-03-14,170.4327,171.1746,170.1039,170.7193,73612000
2016-03-15,169.7582,170.7446,169.4968,170.4411,93169100
2016-03-16,169.9605,171.8321,169.9183,171.4274,129303200
2016-03-17,171.3432,173.0208,170.9469,172.515,134278500
2016-03-18,173.0149,173.5319,172.7014,173.1929,138372400
2016-03-21,172.9302,173.6675,172.7014,173.4387,72926700
2016-03-22,172.6675,173.9132,172.5065,173.3454,97471900
2016-03-23,172.9641,173.1505,172.032,172.2014,81052500
2016-03-24,171.1761,172.1591,170.9558,172.1252,84360900
2016-03-28,172.5404,172.7523,171.7778,172.2269,62408200
2016-03-29,171.8201,173.9302,171.5151,173.82,92922900
2016-03-30,174.82,175.303,174.2183,174.5827,86365300
2016-03-31,174.4894,174.9131,173.9979,174.159,94584100
2016-04-01,173.1675,175.5318,172.854,175.3454,114423500
2016-04-04,175.269,175.4724,174.4725,174.7775,63497000
2016-04-05,173.4387,174.786,172.7777,173.0319,99662200
2016-04-06,173.0319,174.9809,172.8539,174.9216,91839800
2016-04-07,173.837,174.1929,172.0998,172.8286,113859000
2016-04-08,174.0064,174.4386,172.7607,173.2946,95040600
2016-04-11,173.9302,174.625,172.7946,172.8878,83757500
2016-04-12,173.0573,174.7775,172.6167,174.4979,115350600
2016-04-13,175.4131,176.3453,175.2775,176.2605,96336400
2016-04-14,176.3198,176.769,175.9216,176.269,65212900
2016-04-15,176.269,176.4046,175.7521,176.0741,75761600
2016-04-18,176.0741,177.3452,175.4131,177.3113,82531000
2016-04-19,177.735,178.1248,177.0571,177.8706,88316100
2016-04-20,177.913,178.7349,177.4384,178.0401,81100300
2016-04-21,178.057,178.1672,176.8113,177.0825,85695000
2016-04-22,176.7266,177.3537,176.1843,177.0825,99251700
2016-04-25,176.4808,176.8198,175.8707,176.7774,66166500
2016-04-26,177.1418,177.5486,176.5656,177.0401,75864200
2016-04-27,176.6588,177.7943,176.3029,177.4045,77329400
2016-04-28,176.6503,177.752,175.3792,175.7944,97216200
2016-04-29,175.1759,175.5233,173.7438,174.8454,142424100
2016-05-02,175.3453,176.413,174.9131,176.2351,62188000
2016-05-03,175.0064,175.2436,173.9556,174.7013,106422100
2016-05-04,173.7099,174.4386,173.2268,173.7268,92243800
2016-05-05,174.1928,174.5487,173.2692,173.6929,67619200
2016-05-06,172.9217,174.3708,172.7692,174.3284,89315000
2016-05-09,174.2013,174.9046,174.0233,174.4725,74374900
2016-05-10,175.1758,176.6588,175.108,176.6418,77472200
2016-05-11,176.1843,176.7182,174.9895,174.9895,81727000
2016-05-12,175.6588,175.8283,174.0318,175.0402,89586300
2016-05-13,174.7437,175.2945,173.1929,173.5149,96474600
2016-05-16,173.6844,175.7013,173.6251,175.2267,77486800
2016-05-17,174.9555,175.2436,173.0658,173.5912,114924900
2016-05-18,173.2437,174.8199,172.5573,173.642,120062100
2016-05-19,172.9218,173.3285,171.8371,173.0404,115430500
2016-05-20,173.6505,174.6504,173.5996,174.1335,104990400
2016-05-23,174.1505,174.4301,173.7098,173.8962,58682600
2016-05-24,174.7097,176.4639,174.6843,176.1503,93537800
2016-05-25,176.8283,177.7604,176.1504,177.3452,76621400
2016-05-26,177.4808,177.7096,177.0825,177.396,55280700
2016-05-27,177.5571,178.1672,177.5062,178.1587,64211200
2016-05-31,178.4299,178.5401,177.2605,177.8198,109879400
2016-06-01,177.2096,178.3621,177.0147,178.1842,69936200
2016-06-02,177.7859,178.7434,177.3113,178.7265,63044700
2016-06-03,178.1672,178.54,176.9893,178.1926,101757100
2016-06-06,178.5485,179.4552,178.3875,179.0993,64887000
2016-06-07,179.2518,179.9382,179.2264,179.379,60974800
2016-06-08,179.5145,180.0908,179.3874,179.9636,66170900
2016-06-09,179.2349,179.8366,178.9637,179.7179,73786900
2016-06-10,178.3452,178.6841,177.4723,178.0147,113829200
2016-06-13,177.413,178.2688,176.5571,176.6418,117751200
2016-06-14,176.2605,176.8876,175.3453,176.2944,125059300
2016-06-15,176.2944,177.413,175.8622,176.0487,109124500
2016-06-16,176.0487,176.7436,174.2183,176.5741,149533100
2016-06-17,176.4701,176.4957,175.2606,175.9165,117055700
2016-06-20,177.8757,178.5486,176.9642,177.0494,82789600
2016-06-21,177.4327,177.9608,176.9898,177.552,72461700
2016-06-22,177.7308,178.4549,177.1175,177.2623,95560500
2016-06-23,178.7189,179.6218,178.259,179.5707,102731400
2016-06-24,173.4548,179.6049,172.6796,173.1226,333444400
2016-06-27,171.717,171.7255,169.2127,170.0219,230775800
2016-06-28,171.6233,173.114,171.3166,173.0884,159382400
2016-06-29,174.4854,176.2657,174.3832,176.0357,137328600
2016-06-30,176.5043,178.489,175.9506,178.4379,165021900
2016-07-01,178.4378,179.2981,178.276,178.8126,106055300
2016-07-05,177.9864,178.0971,176.9301,177.5264,109803700
2016-07-06,177.0323,178.7104,176.3764,178.5911,96021500
2016-07-07,178.77,179.4344,177.7138,178.4804,85593800
2016-07-08,179.7752,181.3852,179.5452,181.1381,133971000
2016-07-11,181.5981,182.3477,181.3936,181.7769,73633900
2016-07-12,182.7395,183.3954,181.8025,183.0973,101275600
2016-07-13,183.5146,183.5231,182.5862,183.0717,87324100
2016-07-14,184.3324,184.5624,183.702,184.0939,91230900
2016-07-15,184.6561,184.852,183.4039,183.8469,107155400
2016-07-18,183.9661,184.5028,183.7106,184.3409,58725900
2016-07-19,183.9235,184.1876,183.6765,184.1535,54345700
2016-07-20,184.1535,185.1587,184.1535,184.9202,58159500
2016-07-21,184.8094,185.0309,183.7787,184.2217,67777300
2016-07-22,184.3409,185.099,184.0768,185.0479,62787500
2016-07-25,184.8434,184.8945,183.966,184.5453,55873100
2016-07-26,184.4431,184.9882,183.7872,184.6305,70080500
2016-07-27,185.0053,185.0735,183.668,184.4346,84083900
2016-07-28,184.2387,184.9372,183.7787,184.6476,65035700
2016-07-29,184.3835,185.3034,184.1024,184.9456,79519400
2016-08-01,185.0053,185.3971,184.3409,184.7923,73311400
2016-08-02,184.5453,184.6987,182.7736,183.6084,92295500
2016-08-03,183.5487,184.2046,183.2506,184.145,53993600
2016-08-04,184.2557,184.6561,182.501,184.3409,46585500
2016-08-05,184.3409,185.8911,184.3409,185.8486,71892200
2016-08-08,186.036,186.1382,185.4738,185.7379,39906500
2016-08-09,185.806,186.3426,185.5249,185.8486,51251700
2016-08-10,185.9593,186.036,185.0394,185.3886,57941100
2016-08-11,185.9168,186.496,185.6527,186.249,72504300
2016-08-12,185.9423,186.3001,185.6868,186.0871,61313500
2016-08-15,186.4534,186.973,186.4449,186.6238,49813500
2016-08-16,186.2064,186.2745,185.6612,185.6612,53213600
2016-08-17,185.6953,186.1467,184.8605,186.0105,75134300
2016-08-18,185.9849,186.4619,185.8742,186.4279,52989300
2016-08-19,185.9594,186.3342,185.4738,186.1553,75443000
2016-08-22,185.9168,186.3767,185.5505,186.1467,61368800
2016-08-23,186.7601,187.0582,186.4619,186.5215,53399200
2016-08-24,186.3767,186.4704,185.1501,185.5675,71728900
2016-08-25,185.1842,185.8571,185.0309,185.4397,69224800
2016-08-26,185.6271,186.6493,184.2046,185.0905,122506300
2016-08-29,185.2183,186.266,185.1842,186.0019,70502200
2016-08-30,185.9168,186.1979,185.1416,185.6953,58114500
2016-08-31,185.3631,185.4823,184.392,185.1672,85269500
2016-09-01,185.1587,185.4653,184.0172,185.1757,97844200
2016-09-02,186.0275,186.4364,185.4397,186.0105,79293900
2016-09-06,186.2915,186.6493,185.576,186.5726,56702100
2016-09-07,186.4108,186.7345,185.9508,186.5556,76554900
2016-09-08,186.2234,186.496,185.823,186.1297,74102900
2016-09-09,184.8179,184.869,181.6492,181.6747,221589100
2016-09-12,180.9166,184.6816,180.8484,184.2812,168110900
2016-09-13,183.0036,183.2676,181.0103,181.6321,182828800
2016-09-14,181.6832,182.8843,181.0103,181.564,134185500
2016-09-15,181.4022,183.7617,181.2233,183.3784,134427900
2016-09-16,182.7636,182.9434,181.9846,182.6694,155236400
2016-09-19,183.3201,183.9622,182.3784,182.7037,80250500
2016-09-20,183.5599,183.7139,182.6781,182.7123,69665300
2016-09-21,183.4143,184.9467,182.7294,184.767,110284400
2016-09-22,185.7772,186.231,185.529,185.9313,76678700
2016-09-23,185.5374,185.6744,184.8183,184.9125,73630900
2016-09-26,184.0821,184.2619,183.2174,183.4143,89827300
2016-09-27,183.2516,184.6471,182.8835,184.5529,78494800
2016-09-28,184.7755,185.6231,183.8167,185.469,87411000
2016-09-29,185.2635,185.6659,183.2431,183.791,128070600
2016-09-30,184.6214,185.8799,184.3732,185.1779,117202900
2016-10-03,184.767,184.9553,184.0992,184.7327,83512100
2016-10-04,184.844,185.0666,183.2003,183.791,119948100
2016-10-05,184.416,185.0324,184.3475,184.6043,72816000
2016-10-06,184.3817,184.9553,183.8424,184.7327,62927400
2016-10-07,185.0067,185.1779,183.3715,184.0992,89788300
2016-10-10,185.0581,185.5204,184.9125,185.0581,51855000
2016-10-11,184.63,184.6985,181.9931,182.7208,130367400
2016-10-12,182.8578,183.4828,182.3613,182.9606,73866100
2016-10-13,181.6336,182.8579,180.8203,182.3613,101357000
2016-10-14,183.3372,183.7995,182.3784,182.4554,93346200
2016-10-17,182.4298,182.6866,181.6422,181.8219,58275700
2016-10-18,183.4143,183.4742,182.5839,182.9606,76869700
2016-10-19,183.226,183.7568,182.8664,183.4486,66519200
2016-10-20,183.0975,183.6625,182.4469,183.1061,73639800
2016-10-21,183.1061,183.2774,182.1473,183.1917,89089100
2016-10-24,184.065,184.3389,183.6198,183.9708,60146600
2016-10-25,183.791,184.0478,183.1917,183.3544,66542300
