filing_date,transaction_date,form,issuer,ticker,issuer_cik,table,security,code,code_label,acquired_disposed,shares,price_per_share,value_usd,shares_owned_after,direct_indirect,deriv_exercise_price,deriv_underlying_shares,rule_10b5_1,accession,url
2021-12-16,2021-12-16,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,17588,941.595,16560772.86,1596609,D,,,Y,0000899243-21-048676,https://www.sec.gov/Archives/edgar/data/1494730/000089924321048676/doc4.xml
2021-12-16,2021-12-16,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,17842,942.528,16816584.58,1578767,D,,,Y,0000899243-21-048676,https://www.sec.gov/Archives/edgar/data/1494730/000089924321048676/doc4.xml
2021-12-16,2021-12-16,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,6279,943.549,5924544.17,1572488,D,,,Y,0000899243-21-048676,https://www.sec.gov/Archives/edgar/data/1494730/000089924321048676/doc4.xml
2021-12-16,2021-12-16,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,7235,945.599,6841408.77,1565253,D,,,Y,0000899243-21-048676,https://www.sec.gov/Archives/edgar/data/1494730/000089924321048676/doc4.xml
2021-12-16,2021-12-16,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,3821,946.60,3616958.6,1561432,D,,,Y,0000899243-21-048676,https://www.sec.gov/Archives/edgar/data/1494730/000089924321048676/doc4.xml
2021-12-16,2021-12-16,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,12369,947.893,11724488.52,1549063,D,,,Y,0000899243-21-048676,https://www.sec.gov/Archives/edgar/data/1494730/000089924321048676/doc4.xml
2021-12-16,2021-12-16,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,8783,948.804,8333345.53,1540280,D,,,Y,0000899243-21-048676,https://www.sec.gov/Archives/edgar/data/1494730/000089924321048676/doc4.xml
2021-12-16,2021-12-16,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,10785,950.061,10246407.88,1529495,D,,,Y,0000899243-21-048676,https://www.sec.gov/Archives/edgar/data/1494730/000089924321048676/doc4.xml
2021-12-16,2021-12-16,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,2053,951.067,1952540.55,1527442,D,,,Y,0000899243-21-048676,https://www.sec.gov/Archives/edgar/data/1494730/000089924321048676/doc4.xml
2021-12-16,2021-12-16,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,1367,952.036,1301433.21,1526075,D,,,Y,0000899243-21-048676,https://www.sec.gov/Archives/edgar/data/1494730/000089924321048676/doc4.xml
2021-12-16,2021-12-16,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,3713,953.955,3542034.92,1522362,D,,,Y,0000899243-21-048676,https://www.sec.gov/Archives/edgar/data/1494730/000089924321048676/doc4.xml
2021-12-16,2021-12-16,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,9299,956.625,8895655.88,1513063,D,,,Y,0000899243-21-048676,https://www.sec.gov/Archives/edgar/data/1494730/000089924321048676/doc4.xml
2021-12-16,2021-12-16,4,"Tesla, Inc.",TSLA,0001318605,deriv,Non-Qualifed Stock Option (right to buy),M,exercise/conversion of derivative,D,2151940,0.00,0.0,8385757,D,6.24,2151940,Y,0000899243-21-048676,https://www.sec.gov/Archives/edgar/data/1494730/000089924321048676/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,M,exercise/conversion of derivative,A,2088955,6.24,13035079.2,2088955,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,3400,886.69,3014746.0,2085555,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,1900,888.313,1687794.7,2083655,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,5948,889.422,5290282.06,2077707,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,5778,890.495,5145280.11,2071929,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,6753,891.921,6023142.51,2065176,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,10400,892.81,9285224.0,2054776,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,16465,893.659,14714095.44,2038311,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,24576,894.789,21990334.46,2013735,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,29398,895.785,26334287.43,1984337,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,21159,896.683,18972915.6,1963178,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,20375,898.026,18297279.75,1942803,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,25788,898.861,23179827.47,1917015,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,12728,899.925,11454245.4,1904287,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,5010,900.894,4513478.94,1899277,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,17867,902.01,16116212.67,1881410,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,9288,903.207,8388986.62,1872122,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,25892,904.195,23411416.94,1846230,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,39829,905.311,36057631.82,1806401,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,51795,906.163,46934712.59,1754606,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,28220,907.167,25600252.74,1726386,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,36980,908.312,33589377.76,1689406,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,33686,909.158,30625896.39,1655720,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,10207,910.132,9289717.32,1645513,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,31816,911.262,28992711.79,1613697,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,12413,912.371,11325261.22,1601284,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,16605,913.323,15165728.41,1584679,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,27587,914.404,25225663.15,1557092,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,33364,915.39,30541071.96,1523728,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,18384,916.519,16849285.3,1505344,D,,,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,deriv,Non-Qualifed Stock Option (right to buy),M,exercise/conversion of derivative,D,2088955,0.00,0.0,6296802,D,6.24,2088955,Y,0000899243-21-049325,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049325/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,20702,917.403,18992076.91,1484642,D,,,Y,0000899243-21-049309,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049309/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,20162,918.568,18520168.02,1464480,D,,,Y,0000899243-21-049309,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049309/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,12637,919.456,11619165.47,1451843,D,,,Y,0000899243-21-049309,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049309/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,11921,920.672,10975330.91,1439922,D,,,Y,0000899243-21-049309,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049309/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,1900,921.249,1750373.1,1438022,D,,,Y,0000899243-21-049309,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049309/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,2300,923.204,2123369.2,1435722,D,,,Y,0000899243-21-049309,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049309/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,1358,924.118,1254952.24,1434364,D,,,Y,0000899243-21-049309,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049309/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,700,925.866,648106.2,1433664,D,,,Y,0000899243-21-049309,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049309/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,10120,927.468,9385976.16,1423544,D,,,Y,0000899243-21-049309,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049309/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,21302,928.487,19778630.07,1402242,D,,,Y,0000899243-21-049309,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049309/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,23470,929.297,21810600.59,1378772,D,,,Y,0000899243-21-049309,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049309/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,34060,930.308,31686290.48,1344712,D,,,Y,0000899243-21-049309,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049309/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,45211,931.455,42112012.01,1299501,D,,,Y,0000899243-21-049309,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049309/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,46513,932.311,43364581.54,1252988,D,,,Y,0000899243-21-049309,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049309/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,32667,933.375,30490561.12,1220321,D,,,Y,0000899243-21-049309,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049309/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,34617,934.466,32348409.52,1185704,D,,,Y,0000899243-21-049309,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049309/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,18230,935.23,17049242.9,1167474,D,,,Y,0000899243-21-049309,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049309/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,5974,936.222,5592990.23,1161500,D,,,Y,0000899243-21-049309,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049309/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,6617,937.422,6202921.37,1154883,D,,,Y,0000899243-21-049309,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049309/doc4.xml
2021-12-21,2021-12-21,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,19,939.04,17841.76,1154864,D,,,Y,0000899243-21-049309,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049309/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,17202,992.688,17076218.98,2902269,D,,,Y,0000899243-21-049479,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049479/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,18767,993.643,18647698.18,2883502,D,,,Y,0000899243-21-049479,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049479/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,22088,994.713,21971220.74,2861414,D,,,Y,0000899243-21-049479,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049479/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,39967,995.601,39791185.17,2821447,D,,,Y,0000899243-21-049479,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049479/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,28524,996.545,28425449.58,2792923,D,,,Y,0000899243-21-049479,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049479/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,30599,997.605,30525715.39,2762324,D,,,Y,0000899243-21-049479,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049479/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,29480,998.791,29444358.68,2732844,D,,,Y,0000899243-21-049479,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049479/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,29700,999.625,29688862.5,2703144,D,,,Y,0000899243-21-049479,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049479/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,27870,1000.669,27888645.03,2675274,D,,,Y,0000899243-21-049479,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049479/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,12498,1001.64,12518496.72,2662776,D,,,Y,0000899243-21-049479,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049479/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,32153,1002.697,32239716.64,2630623,D,,,Y,0000899243-21-049479,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049479/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,55350,1003.736,55556787.6,2575273,D,,,Y,0000899243-21-049479,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049479/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,48446,1004.776,48677378.1,2526827,D,,,Y,0000899243-21-049479,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049479/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,49439,1005.747,49723125.93,2477388,D,,,Y,0000899243-21-049479,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049479/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,44648,1006.795,44951383.16,2432740,D,,,Y,0000899243-21-049479,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049479/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,23122,1007.689,23299785.06,2409618,D,,,Y,0000899243-21-049479,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049479/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,37729,1008.804,38061166.12,2371889,D,,,Y,0000899243-21-049479,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049479/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,18058,1009.786,18234715.59,2353831,D,,,Y,0000899243-21-049479,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049479/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,18710,1010.809,18912236.39,2335121,D,,,Y,0000899243-21-049479,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049479/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,5300,1011.629,5361633.7,2329821,D,,,Y,0000899243-21-049479,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049479/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,2300,1012.584,2328943.2,2327521,D,,,Y,0000899243-21-049479,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049479/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,700,1013.997,709797.9,2326821,D,,,Y,0000899243-21-049479,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049479/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,877,1014.939,890101.5,2325944,D,,,Y,0000899243-21-049479,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049479/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,M,exercise/conversion of derivative,A,2105171,6.24,13136267.04,3260035,D,,,Y,0000899243-21-049477,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049477/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,6400,958.092,6131788.8,3253635,D,,,Y,0000899243-21-049477,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049477/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,4324,960.113,4151528.61,3249311,D,,,Y,0000899243-21-049477,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049477/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,3200,961.31,3076192.0,3246111,D,,,Y,0000899243-21-049477,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049477/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,4400,963.391,4238920.4,3241711,D,,,Y,0000899243-21-049477,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049477/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,5700,965.619,5504028.3,3236011,D,,,Y,0000899243-21-049477,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049477/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,1300,966.80,1256840.0,3234711,D,,,Y,0000899243-21-049477,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049477/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,3500,968.198,3388693.0,3231211,D,,,Y,0000899243-21-049477,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049477/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,3542,969.891,3435353.92,3227669,D,,,Y,0000899243-21-049477,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049477/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,7499,970.671,7279061.83,3220170,D,,,Y,0000899243-21-049477,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049477/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,8599,972.078,8358898.72,3211571,D,,,Y,0000899243-21-049477,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049477/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,6735,973.175,6554333.62,3204836,D,,,Y,0000899243-21-049477,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049477/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,15183,974.219,14791567.08,3189653,D,,,Y,0000899243-21-049477,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049477/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,2568,975.028,2503871.9,3187085,D,,,Y,0000899243-21-049477,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049477/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,17239,976.45,16833021.55,3169846,D,,,Y,0000899243-21-049477,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049477/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,22462,977.497,21956537.61,3147384,D,,,Y,0000899243-21-049477,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049477/doc4.xml
2021-12-22,2021-12-22,4,"Tesla, Inc.",TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,25666,978.379,25111075.41,3121718,D,,,Y,0000899243-21-049477,https://www.sec.gov/Archives/edgar/data/1494730/000089924321049477/doc4.xml
