filing_date,form,accession,primary_document,url
2016-02-10,4,0001494730-16-000005,xslF345X03/edgardoc.xml,https://www.sec.gov/Archives/edgar/data/1494730/000149473016000005/xslF345X03/edgardoc.xml
2016-02-02,SC 13D/A,0001193125-16-447638,d129694dsc13da.htm,https://www.sec.gov/Archives/edgar/data/1494730/000119312516447638/d129694dsc13da.htm
2016-01-29,4,0001494730-16-000004,xslF345X03/edgardoc.xml,https://www.sec.gov/Archives/edgar/data/1494730/000149473016000004/xslF345X03/edgardoc.xml
2016-01-05,4,0001408356-16-000108,xslF345X03/edgar.xml,https://www.sec.gov/Archives/edgar/data/1494730/000140835616000108/xslF345X03/edgar.xml
2015-12-22,4,0001408356-15-000104,xslF345X03/edgar.xml,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000104/xslF345X03/edgar.xml
2015-12-16,4/A,0001408356-15-000097,xslF345X03/edgar.xml,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000097/xslF345X03/edgar.xml
2015-12-16,4,0001408356-15-000093,xslF345X03/edgar.xml,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000093/xslF345X03/edgar.xml
2015-11-16,4,0001408356-15-000088,xslF345X03/edgar.xml,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000088/xslF345X03/edgar.xml
2015-11-13,4,0001408356-15-000085,xslF345X03/edgar.xml,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000085/xslF345X03/edgar.xml
2015-09-10,4,0001408356-15-000081,xslF345X03/edgar.xml,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000081/xslF345X03/edgar.xml
2015-08-24,4,0001408356-15-000072,xslF345X03/edgar.xml,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000072/xslF345X03/edgar.xml
2015-08-21,4,0001494730-15-000002,xslF345X03/edgardoc.xml,https://www.sec.gov/Archives/edgar/data/1494730/000149473015000002/xslF345X03/edgardoc.xml
2015-08-06,4,0001408356-15-000058,xslF345X03/edgar.xml,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000058/xslF345X03/edgar.xml
2015-06-15,4,0001408356-15-000050,xslF345X03/edgar.xml,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000050/xslF345X03/edgar.xml
2015-05-18,4,0001408356-15-000043,xslF345X03/edgar.xml,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000043/xslF345X03/edgar.xml
2015-04-27,4,0001408356-15-000026,xslF345X03/edgar.xml,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000026/xslF345X03/edgar.xml
2015-03-13,4,0001408356-15-000022,xslF345X03/edgar.xml,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000022/xslF345X03/edgar.xml
2015-03-04,4,0001408356-15-000018,xslF345X03/edgar.xml,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000018/xslF345X03/edgar.xml
2015-02-13,SC 13G/A,0001193125-15-050342,d873648dsc13ga.htm,https://www.sec.gov/Archives/edgar/data/1494730/000119312515050342/d873648dsc13ga.htm
2015-02-13,SC 13D/A,0001193125-15-050226,d866510dsc13da.htm,https://www.sec.gov/Archives/edgar/data/1494730/000119312515050226/d866510dsc13da.htm
2015-01-22,4/A,0001408356-15-000006,xslF345X03/edgar.xml,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000006/xslF345X03/edgar.xml
